fiscalYear;period;catAccountingView;catFinancialView;revenue;otherIncome;grossMargin;operatingExpenses;operatingProfit;FinancialResult;EarningsBeforeTax;nonRecurringResult;netProfit
2020;202001;Produits;Opérationnel;411825.47;8248.95;99045.35;257366.55;347699.45;17542.95;204975.92;2697.82;169941.62
2024;202408;Immobilisations;Exceptionnel;290313.28;27095.4;210755.5;127241.99;176499.71;-3827.62;273662.42;-1198.56;25712.83
2016;201609;Immobilisations;Exceptionnel;651802.21;47832.1;305780.91;195960.93;214561.34;1504.9;72728.61;8615.25;68122.4
2024;202411;Produits;Exceptionnel;316971.14;29095.47;299064.24;163414.51;328450.73;7197.84;274741.58;-4726.55;58035.58
2019;201906;Produits;Non opérationnel;720396.04;7550.85;323793.98;186970.18;146505.75;16950.1;219312.38;-300.69;178760.53
2018;201802;Charges;Financier;601082.34;49029.9;95057.18;223904.66;82047.46;15458.55;116046.07;12986.21;140068.98
2024;202403;Trésorerie;Non opérationnel;435171.25;8749.23;156835.86;162277.84;249423.73;469.25;161144.1;12782.41;157187.55
2022;202207;Charges;Non opérationnel;101840.55;26577.12;313142.78;166302.84;268230.82;18236.78;143994.96;-1419.19;79463.06
2019;201906;Produits;Financier;963147.24;35989.55;122270.56;137762.19;86704.34;16205.62;164300.33;8517.66;218891.34
2018;201801;Immobilisations;Opérationnel;782080.0;31477.08;119079.19;110483.64;297550.84;-8272.69;299977.5;9183.63;173280.55
2015;201509;Trésorerie;Financier;875193.43;10711.81;485818.08;231031.47;302255.1;12959.26;54081.02;10088.51;127555.8
2024;202401;Immobilisations;Non opérationnel;952419.29;10340.42;59918.97;33155.04;276100.27;8220.05;255150.93;13922.23;247731.1
2018;201801;Produits;Exceptionnel;581937.43;22870.01;445175.56;140456.71;81481.86;13688.33;265433.67;-4365.25;134176.13
2016;201612;Produits;Non opérationnel;536069.38;29420.07;477399.63;43307.57;116071.41;-2061.68;179353.74;8270.92;41170.4
2018;201801;Trésorerie;Exceptionnel;731762.09;28029.96;330817.19;122256.49;62117.04;2379.98;180126.6;3886.33;34722.78
2016;201604;Immobilisations;Exceptionnel;739961.31;6795.84;471835.63;275605.92;350024.58;17200.86;109602.68;3421.16;62732.37
2018;201803;Trésorerie;Financier;122641.82;45596.32;286213.58;72675.04;204962.75;-2757.28;258073.92;1885.55;152736.3
2024;202412;Trésorerie;Non opérationnel;915427.91;27331.21;100211.58;272257.39;282301.63;18313.67;49197.82;8039.13;16272.79
2024;202412;Trésorerie;Opérationnel;933662.28;8159.39;277046.59;206865.06;251602.04;-501.84;289411.62;10297.73;229628.87
2018;201802;Charges;Opérationnel;296173.92;22238.42;362401.73;273576.02;120707.37;-9204.65;104222.64;-513.2;133733.13
2022;202209;Trésorerie;Non opérationnel;870117.41;45722.12;489034.8;21026.08;101414.63;11206.87;265515.17;12389.23;69264.62
2022;202212;Produits;Non opérationnel;998970.16;18671.96;216356.05;145453.65;70592.68;-9757.95;269181.02;330.26;23871.27
2019;201904;Trésorerie;Opérationnel;309363.54;30412.22;301728.98;211041.52;240521.61;840.88;166326.69;-1993.99;190695.24
2024;202412;Produits;Financier;625053.23;3877.24;67122.68;77371.37;126636.21;11307.92;225509.37;589.85;166402.14
2016;201601;Produits;Non opérationnel;628579.84;25747.39;103797.01;70403.05;308135.17;-4647.27;16158.03;-2887.2;234678.65
2016;201612;Immobilisations;Non opérationnel;155823.99;4997.52;331908.4;193299.57;344899.78;11894.1;34148.97;2218.83;96403.9
2023;202303;Produits;Exceptionnel;583330.81;47958.26;189933.94;295556.2;188856.74;8589.66;30136.44;14277.3;174513.48
2024;202407;Produits;Non opérationnel;275020.31;12181.02;143874.61;94479.14;114395.32;3957.36;298460.61;9527.29;201045.4
2017;201708;Produits;Financier;996708.45;34854.53;393315.64;75351.81;328052.56;9684.04;51237.45;4817.04;145903.38
2016;201606;Produits;Exceptionnel;364978.38;27325.72;150394.62;72283.1;128230.38;-5804.36;268558.46;-1380.14;27584.84
2017;201709;Charges;Non opérationnel;967943.59;29533.22;57486.03;299344.74;283472.9;6487.66;211811.72;13973.25;127218.52
2019;201911;Produits;Financier;133648.42;26084.15;415554.41;141357.82;394896.47;12751.59;62682.66;13929.33;55869.95
2016;201609;Trésorerie;Non opérationnel;156384.19;21767.11;299175.21;147376.57;318592.0;4453.56;92117.99;7.89;78727.33
2015;201509;Charges;Financier;499788.98;15604.18;290842.35;103018.25;162211.91;-9466.95;175295.17;13713.51;242941.62
2024;202411;Charges;Exceptionnel;438242.83;48034.47;332916.2;181768.14;202463.15;17168.52;88219.3;13983.41;46575.89
2017;201705;Charges;Non opérationnel;997167.58;29555.74;122541.74;256224.41;282881.21;11642.77;89387.61;14548.59;113290.25
2023;202310;Immobilisations;Non opérationnel;210511.06;37092.34;382100.12;91200.73;247156.53;6302.89;94904.89;7213.26;102466.18
2023;202305;Immobilisations;Opérationnel;669097.55;36996.84;191552.2;295602.36;308004.06;581.56;148284.97;3567.51;34529.08
2024;202408;Produits;Exceptionnel;832971.14;32028.62;363262.82;179861.08;76319.05;9761.19;70018.29;1264.38;127070.57
2022;202201;Produits;Opérationnel;121568.13;49157.11;163585.9;227210.37;163953.54;19659.56;55173.08;12471.03;148872.38
2017;201705;Immobilisations;Exceptionnel;100007.92;3393.05;218734.06;164043.8;151508.9;-2756.09;204512.02;11675.64;202789.84
2021;202104;Trésorerie;Financier;333124.33;30883.68;147618.91;70050.59;289490.37;735.16;113758.35;5877.69;193381.25
2015;201508;Immobilisations;Non opérationnel;777378.47;43561.48;467600.42;175637.85;376304.76;-5499.63;20141.89;4109.78;218803.54
2019;201910;Produits;Financier;960955.44;20577.58;427228.05;50314.83;47649.8;8772.36;58917.82;2764.0;208645.05
2018;201807;Produits;Financier;354057.49;29444.65;354395.87;191712.32;126542.18;5017.48;260010.7;-4533.11;166305.95
2021;202103;Trésorerie;Exceptionnel;716841.85;26558.05;368188.66;194735.47;275138.81;11573.45;144277.53;10179.87;64795.61
2017;201701;Immobilisations;Exceptionnel;992011.35;27128.76;141129.87;152000.87;17563.99;15663.86;156679.98;1146.01;35708.68
2016;201604;Trésorerie;Financier;276355.66;22419.15;343938.44;286449.84;397140.47;-627.23;154770.85;14924.07;202198.03
2019;201908;Immobilisations;Exceptionnel;164800.77;1675.85;442365.46;194488.6;11909.31;-1926.24;23999.65;-4069.62;161333.29
2022;202204;Charges;Exceptionnel;615224.85;32074.39;385144.23;117250.69;391818.73;9798.28;79019.54;58.58;63197.29
2021;202107;Trésorerie;Financier;894639.4;36186.43;170778.66;242306.4;167074.17;17405.09;229990.19;11812.7;235991.36
2017;201712;Immobilisations;Exceptionnel;762529.43;20213.96;253786.25;217296.18;344415.49;-7116.26;164739.49;11218.06;249067.88
2019;201912;Produits;Financier;175382.88;49913.99;234970.48;135365.21;134190.77;15541.32;294408.85;-1254.24;246590.76
2015;201504;Charges;Financier;978842.78;48799.74;458127.06;160756.92;152088.87;5886.11;19894.97;3798.23;75042.46
2023;202311;Produits;Non opérationnel;146496.43;16058.42;333148.67;104383.83;217204.15;-1741.08;28038.19;6367.59;247077.73
2020;202008;Trésorerie;Financier;310855.58;7096.98;336532.73;119927.79;295700.57;13365.71;176094.35;11103.27;168025.82
2016;201610;Trésorerie;Opérationnel;924620.36;1596.24;336890.83;236419.69;276861.86;-3313.83;293305.62;-4802.02;42881.68
2021;202110;Produits;Non opérationnel;820715.49;3785.48;185886.76;232483.83;283261.56;5413.85;151527.44;360.69;79300.26
2017;201709;Produits;Financier;476290.13;26447.53;393161.76;121039.63;343800.74;13006.69;119580.23;14905.78;211922.52
2016;201611;Trésorerie;Financier;722313.41;2704.3;250978.65;153279.52;101356.87;5197.57;102119.09;-2870.6;229019.94
2021;202108;Charges;Financier;514409.0;38489.18;419684.76;203744.27;211885.85;-1057.76;199940.9;10288.71;11824.07
2023;202308;Trésorerie;Non opérationnel;789694.03;11606.74;105794.03;179454.06;66550.16;3624.67;233727.56;-2224.77;92727.05
2022;202205;Trésorerie;Exceptionnel;568668.23;11098.16;283684.64;21668.19;330022.47;-7978.12;298898.39;-4052.55;155313.84
2018;201806;Immobilisations;Non opérationnel;821237.8;31179.8;299902.03;60109.6;225166.21;-9259.45;84137.23;-3085.46;223446.91
2021;202101;Charges;Exceptionnel;923217.79;16809.1;143506.68;50246.88;260960.9;18670.47;224990.29;-2825.37;194788.37
2019;201908;Trésorerie;Financier;842243.03;6029.13;392708.88;45907.05;225274.54;4828.07;186301.24;-1016.78;203999.51
2018;201804;Immobilisations;Opérationnel;759514.97;24726.65;183031.88;150926.16;197291.42;14027.82;41297.33;5306.69;154276.97
2024;202402;Immobilisations;Non opérationnel;561180.88;36623.11;406012.19;297541.48;364494.26;-6117.2;72595.4;8584.66;150544.7
2018;201801;Produits;Exceptionnel;184611.68;26883.53;466333.47;81651.32;336249.96;-6206.45;98080.01;14307.33;132148.38
2022;202209;Trésorerie;Financier;924110.93;17892.17;100473.45;28080.72;114534.81;19407.05;78142.18;-3481.12;172010.81
2016;201607;Charges;Opérationnel;560925.78;49463.94;397695.45;96830.27;180217.04;6388.9;298546.03;8845.65;210394.62
2020;202007;Charges;Exceptionnel;847788.88;26990.41;134382.06;51565.92;344875.48;771.06;134794.3;11969.74;237645.93
2015;201505;Trésorerie;Financier;117539.76;30802.51;477677.84;296681.6;252896.32;-5152.49;284662.88;-3503.14;236064.86
2020;202010;Trésorerie;Financier;499220.66;42006.37;312120.64;117038.61;164479.73;-1806.2;114063.22;1568.36;91334.51
2020;202010;Charges;Exceptionnel;977395.99;3128.07;77617.96;139404.53;51796.09;3735.43;217266.55;10811.41;223886.82
2016;201608;Immobilisations;Non opérationnel;814104.47;27806.24;417368.39;129821.53;261351.63;7132.2;273916.21;9725.2;222786.21
2022;202205;Produits;Financier;267734.59;25110.47;434768.27;128018.68;336457.0;-7355.72;23787.89;9679.2;120147.12
2024;202404;Immobilisations;Exceptionnel;154097.46;32549.8;420725.91;65659.23;109176.53;14061.37;224878.01;8515.09;133032.87
2018;201808;Produits;Financier;568532.61;3213.01;212514.3;30980.24;363124.73;7344.48;33212.03;11450.83;181806.34
2024;202409;Charges;Non opérationnel;612409.08;8693.07;362865.73;187310.26;36808.47;10124.71;75861.63;-3223.42;220964.23
2023;202312;Charges;Opérationnel;336301.88;49944.95;134747.98;247836.18;177217.79;-6003.65;122366.94;3077.63;45755.85
2024;202403;Produits;Financier;898286.03;14102.62;96946.58;210109.35;13697.42;-5973.33;109309.75;3060.35;241330.89
2024;202409;Trésorerie;Exceptionnel;102525.16;3675.2;64032.18;151881.82;210378.88;8712.66;220294.58;13223.04;145538.51
2021;202106;Trésorerie;Non opérationnel;981840.51;47640.32;429410.55;99677.46;127219.35;-2506.15;169308.25;3404.82;212347.04
2021;202108;Immobilisations;Opérationnel;936610.7;45411.21;59745.95;160171.11;379554.84;5369.98;278473.29;8131.96;30284.98
2018;201803;Charges;Exceptionnel;512955.08;18135.75;478031.32;60063.21;237220.83;413.64;257335.44;269.47;213694.55
2016;201601;Immobilisations;Non opérationnel;352608.7;8425.34;147415.28;230416.69;198869.93;-7067.82;275764.95;4577.94;116120.77
2017;201702;Immobilisations;Exceptionnel;553610.68;40977.52;389252.64;51199.32;250399.68;11793.33;297650.3;9792.08;124453.97
2017;201702;Charges;Financier;172317.56;47030.04;396189.49;83000.81;397349.99;14313.58;96955.91;6303.85;188593.79
2017;201705;Immobilisations;Financier;248628.72;12203.25;260296.68;144296.69;127877.61;18792.46;25953.17;11363.92;6986.82
2015;201511;Produits;Non opérationnel;759769.3;14546.28;491553.8;255365.57;321274.21;15634.97;14199.89;4071.09;28126.46
2022;202206;Immobilisations;Financier;403602.57;11846.37;300331.71;150118.3;395750.23;11395.29;238141.54;6260.63;14232.3
2023;202307;Charges;Non opérationnel;968255.28;25742.53;305923.08;114336.56;282640.31;793.71;30146.7;2570.05;99500.91
2019;201905;Produits;Non opérationnel;183355.97;27425.95;495861.16;113617.22;25533.28;-2615.88;291926.64;13075.65;17947.66
2022;202209;Charges;Exceptionnel;227180.29;26337.08;117495.02;108285.95;164755.56;6517.86;177531.25;1519.13;13241.42
2018;201806;Produits;Non opérationnel;276077.07;7612.56;143331.04;244038.13;62212.88;-9058.57;146063.24;-4490.24;148333.26
2021;202111;Charges;Exceptionnel;495972.46;42394.34;123187.54;156438.27;225208.61;13881.64;119670.41;11927.1;45761.5
2017;201708;Immobilisations;Financier;758205.44;19925.56;361330.44;205553.42;222519.57;-4681.91;81936.04;1684.43;25837.7
2017;201712;Charges;Financier;969508.65;8503.74;432282.78;69219.57;322316.33;176.14;138099.85;-4257.72;20478.17
2016;201605;Charges;Opérationnel;153911.61;33262.64;495735.69;163764.59;176304.98;1693.21;94569.3;6131.05;230330.02
2024;202402;Trésorerie;Opérationnel;840456.87;42585.5;167817.07;207422.59;213847.07;13829.83;216312.74;12726.07;174813.86
2021;202104;Charges;Exceptionnel;755027.26;22436.22;126773.97;59672.35;45402.94;-7099.13;110538.3;6847.68;42851.5
2016;201609;Produits;Financier;683137.67;11347.36;114285.71;128780.93;322552.25;1405.35;213887.29;2103.39;198100.83
2018;201809;Charges;Non opérationnel;776878.08;32034.99;258894.41;279771.42;170013.33;-5516.69;109646.9;10625.66;160818.81
2016;201610;Trésorerie;Financier;204847.1;40738.01;438732.26;102589.42;179867.32;9803.05;61400.31;-2683.48;18374.69
2020;202006;Produits;Non opérationnel;990796.96;18872.97;276056.23;170519.19;396846.88;10903.2;177167.24;14640.4;101275.77
2022;202211;Immobilisations;Non opérationnel;554983.9;41347.3;312944.05;85342.19;361323.91;15193.46;122512.27;12995.95;62834.39
2020;202011;Immobilisations;Non opérationnel;790254.12;30194.2;256513.83;270786.59;234845.54;6061.0;70617.36;-4430.56;151159.74
2017;201709;Trésorerie;Financier;659000.78;25558.49;110692.88;145831.04;213286.7;8769.12;56685.41;11544.5;98440.84
2020;202009;Immobilisations;Non opérationnel;498708.68;45412.52;99950.71;89340.17;354462.15;-2409.5;294106.49;346.41;54434.87
2018;201812;Immobilisations;Exceptionnel;645784.98;44135.12;442683.43;64090.47;293369.06;-8416.53;133955.87;9153.67;99666.01
2019;201903;Produits;Exceptionnel;737111.59;40655.04;237355.71;177980.56;71450.71;13987.94;61983.61;3418.74;27527.84
2015;201506;Immobilisations;Non opérationnel;546962.08;26965.71;154763.57;175205.08;207501.23;-1641.83;204095.36;9495.64;161698.27
2022;202208;Charges;Exceptionnel;429711.74;44241.13;458999.42;233185.02;269668.86;7473.17;112090.25;4630.42;225253.02
2021;202106;Trésorerie;Exceptionnel;655824.04;14778.15;481295.65;64606.43;375084.36;-829.42;96751.1;1594.29;98105.95
2023;202301;Immobilisations;Exceptionnel;267564.55;32541.57;180993.05;283003.77;387038.42;2115.58;259168.75;460.07;24211.89
2020;202010;Charges;Exceptionnel;792784.28;44615.69;70018.88;175597.95;178131.13;-872.7;91450.26;7947.78;151839.44
2024;202404;Trésorerie;Non opérationnel;511836.96;44753.46;146658.54;68193.51;13079.0;11195.76;60106.08;4513.05;136213.64
2022;202202;Immobilisations;Non opérationnel;175246.39;4443.7;465355.76;43357.32;100462.04;6750.04;31311.36;467.84;221528.49
2016;201610;Trésorerie;Financier;228276.49;13438.53;273148.4;34481.33;261125.83;8734.07;12772.15;4030.73;157359.28
2015;201507;Immobilisations;Exceptionnel;180538.29;15001.85;218575.67;33642.67;150348.97;-6459.42;94627.79;7027.68;96966.79
2018;201801;Trésorerie;Financier;584129.99;4862.73;142667.98;226480.37;52674.85;40.04;31128.08;10637.68;82041.11
2018;201812;Charges;Exceptionnel;175982.3;32339.12;299231.73;92359.68;165410.72;-981.1;125867.54;-450.56;99804.67
2023;202305;Immobilisations;Financier;325834.58;47297.83;346754.62;241713.88;267230.87;18049.62;221575.81;-621.53;175044.13
2017;201710;Trésorerie;Non opérationnel;758740.58;9300.1;114115.02;103163.68;299471.12;11992.6;78561.93;-971.01;148854.96
2024;202407;Produits;Exceptionnel;914010.39;31140.06;244675.93;71008.57;131825.63;13832.52;31810.51;12097.11;180274.38
2022;202209;Immobilisations;Exceptionnel;702175.7;19695.69;155946.7;235395.35;316716.5;-5557.95;227848.52;-673.9;52163.97
2017;201702;Produits;Financier;172271.31;46915.06;61572.6;42882.16;376245.21;9859.22;261799.87;10922.52;205264.13
2019;201910;Trésorerie;Non opérationnel;932609.12;44941.56;380934.12;245444.6;226790.01;-4776.46;106630.44;10296.42;225274.6
2023;202312;Immobilisations;Exceptionnel;997849.65;9797.67;436813.66;107351.47;354406.87;-1032.34;280070.26;6504.21;15445.05
2021;202109;Charges;Exceptionnel;601276.67;48877.86;270420.56;220053.52;161532.5;-375.34;260173.81;4994.32;51495.16
2018;201804;Produits;Non opérationnel;172023.72;29599.63;417303.96;283870.34;384148.89;-1042.46;232243.6;12235.15;19762.24
2016;201602;Immobilisations;Exceptionnel;672229.38;11660.85;50106.7;38208.08;114792.68;-577.26;277057.64;1179.22;147090.52
2018;201811;Immobilisations;Opérationnel;589779.05;48794.43;61163.12;106330.44;154731.1;-705.36;224393.75;9248.07;69243.56
2018;201812;Immobilisations;Financier;256771.51;27593.61;228015.29;245771.48;194055.26;5142.21;179582.73;-4991.76;241425.58
2015;201506;Trésorerie;Opérationnel;800306.38;23141.89;313520.86;30365.21;276072.98;18786.41;142085.2;7845.28;134752.2
2022;202206;Produits;Exceptionnel;847351.29;8666.59;124319.97;75520.46;98864.52;-6379.99;95970.56;-4638.35;115567.36
2016;201609;Immobilisations;Financier;746256.35;40511.77;127698.49;298690.7;214905.26;18654.06;220422.9;-2667.75;187436.01
2020;202011;Immobilisations;Financier;619976.32;49311.09;412566.17;292944.42;316426.33;10050.74;34592.88;10591.11;7894.76
2024;202406;Trésorerie;Opérationnel;992840.58;26475.7;315123.5;94324.7;203395.9;-5268.99;85306.92;10282.02;116392.3
2015;201508;Immobilisations;Financier;368679.5;16557.52;465217.17;247866.39;264876.25;17036.64;102593.13;2426.68;232645.0
2024;202407;Immobilisations;Opérationnel;283583.95;41098.39;299206.02;282263.93;291385.3;-5840.77;174052.57;11196.0;212141.22
2023;202301;Produits;Non opérationnel;515996.78;45374.03;159277.97;189718.81;317638.53;-6987.05;153883.05;-386.25;132827.37
2016;201601;Produits;Opérationnel;482881.34;11979.79;481982.81;33413.62;285236.22;-5858.33;79905.54;-3.95;104667.54
2019;201910;Charges;Exceptionnel;841486.14;20009.97;122006.12;153949.4;354649.98;-8912.85;214431.65;13215.25;11711.26
2016;201601;Charges;Non opérationnel;968644.02;6219.87;219111.14;212272.73;183048.09;8090.81;204980.1;3550.57;15513.52
2021;202102;Immobilisations;Exceptionnel;821999.75;30738.48;289917.2;141846.42;320227.68;14812.56;174395.87;7866.57;146246.28
2017;201706;Charges;Exceptionnel;812716.04;2958.79;459210.76;194177.34;371717.97;-3388.65;243895.31;9736.96;179611.21
2017;201709;Produits;Financier;559314.21;15666.55;85333.32;101617.19;167763.8;13024.05;103409.81;6187.57;79141.57
2018;201803;Produits;Opérationnel;763618.99;46863.48;164247.95;63653.06;392224.44;6566.25;83110.77;13694.52;246123.68
2024;202404;Trésorerie;Financier;737447.92;17446.44;325482.32;116748.99;362237.73;-7894.27;242949.18;10378.1;7905.23
2022;202204;Charges;Opérationnel;324767.26;35867.94;109174.84;60994.71;353154.06;-9231.46;197260.23;2437.38;7334.06
2021;202112;Immobilisations;Financier;612383.14;8740.76;434256.53;238553.06;343696.8;11092.07;253706.42;859.56;30624.55
2020;202008;Charges;Exceptionnel;574543.25;10508.77;274186.2;154784.38;20800.98;7762.2;52887.53;1803.42;215454.18
2021;202103;Immobilisations;Exceptionnel;954450.05;34574.65;335094.42;289896.2;371470.75;8319.34;253233.65;439.67;105491.85
2020;202002;Trésorerie;Exceptionnel;337182.97;48049.0;169597.68;265634.13;146624.28;7571.95;69086.69;-2208.9;83956.96
2018;201808;Trésorerie;Opérationnel;908564.87;25801.56;258187.52;156226.82;364851.34;2315.25;163573.74;7124.24;249811.76
2015;201502;Produits;Non opérationnel;922784.39;17868.93;456489.98;43259.55;192228.45;15067.62;90294.5;8076.73;63327.38
2023;202309;Produits;Opérationnel;657990.91;12245.26;149355.97;156426.29;383907.81;-7033.6;87179.9;-2159.19;100784.03
2019;201903;Immobilisations;Opérationnel;813039.3;42141.66;345809.86;171927.04;364047.07;-546.12;133660.38;-3887.18;18665.41
2018;201807;Trésorerie;Financier;789745.98;12719.71;89761.99;182439.29;218461.19;15642.19;239060.93;10850.82;105523.32
2015;201506;Trésorerie;Opérationnel;707262.65;28390.05;114009.89;167345.68;250899.51;7704.82;122367.58;7632.27;86715.72
2021;202104;Immobilisations;Exceptionnel;395750.23;48520.24;471211.25;52614.1;332031.69;-3470.45;201999.41;6131.19;194124.76
2023;202303;Immobilisations;Opérationnel;435795.99;33624.45;293633.39;277957.2;191898.27;-7686.47;58975.24;9137.55;119960.93
2022;202205;Immobilisations;Exceptionnel;582084.99;28686.43;252350.35;50979.26;43916.94;14341.89;179156.77;9688.55;93560.57
2019;201910;Charges;Exceptionnel;913240.63;28693.5;204616.45;143345.62;169527.41;13368.25;113315.0;2178.3;142628.0
2016;201601;Charges;Financier;491212.75;8478.91;459054.83;110138.45;264027.83;-5766.78;114059.28;14954.01;164623.31
2019;201904;Produits;Financier;180942.14;39949.1;216168.26;50714.61;137479.69;185.44;208965.69;-3506.95;229455.87
2017;201702;Trésorerie;Exceptionnel;198533.0;11544.96;472798.45;85481.68;214131.46;-7492.25;55381.24;1083.91;18590.79
2018;201802;Immobilisations;Non opérationnel;341248.23;3585.65;144513.32;78206.0;347121.13;-4313.59;117429.32;6571.37;5064.0
2017;201709;Produits;Non opérationnel;533864.56;31467.4;267307.55;209349.38;139909.09;19638.39;264685.12;-3160.65;160662.77
2017;201708;Charges;Non opérationnel;884966.6;9264.85;239439.21;290028.36;348686.19;18922.91;38823.01;7159.05;183863.99
2016;201604;Trésorerie;Financier;801904.64;37164.97;438807.93;274422.26;217970.15;14332.91;249620.15;14102.39;50674.81
2015;201508;Produits;Non opérationnel;206705.06;17579.42;197998.04;68736.7;112500.83;-2711.85;211296.37;6870.91;247420.54
2015;201503;Trésorerie;Exceptionnel;185337.06;19345.87;482017.23;233090.19;182651.29;2908.26;28094.79;-3399.81;144054.21
2020;202012;Immobilisations;Non opérationnel;816100.22;6574.6;96148.48;63220.41;346948.85;4816.57;39984.59;3268.9;232811.23
2018;201811;Trésorerie;Financier;955113.91;43033.43;266267.55;170172.27;188565.52;-9211.07;246863.54;10320.53;231280.42
2019;201910;Immobilisations;Opérationnel;114818.42;41762.44;393029.75;239514.58;208276.74;6066.0;228882.12;1975.06;101312.03
2015;201507;Charges;Non opérationnel;846309.45;26884.86;360640.07;140674.66;280467.83;-7304.29;93503.86;7772.2;107677.3
2023;202308;Trésorerie;Non opérationnel;828514.2;24854.5;57471.65;150318.05;328388.02;5517.15;58371.48;-4304.98;74347.0
2019;201902;Trésorerie;Opérationnel;853380.77;28248.57;102128.0;95581.23;54838.21;52.55;185935.74;10060.45;151056.81
2023;202302;Immobilisations;Non opérationnel;142892.74;2780.31;174377.05;49025.97;266634.91;5440.11;284765.79;10052.55;75889.07
2019;201905;Trésorerie;Exceptionnel;101486.44;44273.27;211226.47;175284.03;372142.75;15283.39;210951.81;11960.72;151360.3
2024;202410;Charges;Exceptionnel;383327.43;47650.83;72833.05;147451.02;299004.99;3738.88;95480.94;3936.04;169621.85
2015;201503;Produits;Non opérationnel;561326.7;3116.91;271459.41;187891.93;206296.88;-4059.79;82176.21;6695.1;139490.57
2015;201505;Produits;Exceptionnel;334738.88;45431.92;342888.1;285511.43;103104.01;-6988.75;70717.53;-4907.2;40147.74
2017;201707;Immobilisations;Financier;535520.12;22250.11;371363.38;24009.27;206943.02;-6533.19;271615.98;6027.65;186663.22
